,Name,Value,Overall_rating,Statistical_rating,Short_name
0,Afonso Rebeiro Figueiredo,2500000.0,71,101.84,Afonso Rebeiro Figueiredo
1,Bernardo Mota Carvalho e Silva,43500000.0,84,126.32432432432432,Bernardo Mota Carvalho e Silva
2,Carlos Miguel Ribeiro Dias,4500000.0,73,58.68888888888888,Carlos Miguel Ribeiro Dias
3,Dante Bonfim Costa Santos,7000000.0,81,57.230303030303034,Dante Bonfim Costa Santos
4,David Luiz Moreira Marinho,33000000.0,86,25.333333333333332,David Luiz Moreira Marinho
5,Diego Carlos Santos Silva,9500000.0,77,71.75294117647057,Diego Carlos Santos Silva
6,Matheus Dória Macedo,3600000.0,72,56.00869565217391,Matheus Dória Macedo
7,Fábio Henrique Tavares,29500000.0,83,147.17297297297296,Fábio Henrique Tavares
8,Gabriel Boschilia,6500000.0,73,130.92727272727276,Gabriel Boschilia
9,Gelson Tavares Fernandes,5500000.0,76,105.13333333333331,Gelson Tavares Fernandes
10,Gonçalo Manuel Ganchinho Guedes,8500000.0,74,7.057142857142856,Gonçalo Manuel Ganchinho Guedes
11,Ivan Cavaleiro,5500000.0,73,17.099999999999998,Ivan Cavaleiro
12,Jemerson de Jesus Nascimento,17500000.0,80,83.60000000000001,Jemerson de Jesus Nascimento
13,Jesé Rodríguez Ruíz,11500000.0,77,34.62222222222222,Jesé Rodríguez Ruíz
14,Jorge Marco de Oliveira Morais,7000000.0,74,155.79999999999998,Jorge Marco de Oliveira Morais
15,Luiz Frello Filho Jorge,22000000.0,81,36.480000000000004,Luiz Frello Filho Jorge
16,Jorge Fernando Barbosa Intima,3100000.0,70,36.480000000000004,Jorge Fernando Barbosa Intima
17,João Filipe Moutinho,20500000.0,82,109.34193548387096,João Filipe Moutinho
18,Kenny Rocha Santos,500000.0,61,44.333333333333336,Kenny Rocha Santos
19,Lucas Pedro Alves de Lima,4000000.0,73,193.20000000000002,Lucas Pedro Alves de Lima
20,Malcom Filipe Silva de Oliveira,25000000.0,81,113.28108108108107,Malcom Filipe Silva de Oliveira
21,Marcos Aoas Corrêa,30500000.0,83,93.6896551724138,Marcos Aoas Corrêa
22,Edson Andre Sitoe,8000000.0,77,85.58260869565217,Edson Andre Sitoe
23,Pedro Henrique Pereira da Silva,10000000.0,77,18.7076923076923,Pedro Henrique Pereira da Silva
24,Pedro Henrique Bueno,650000.0,64,18.7076923076923,Pedro Henrique Bueno
25,Pedro Filipe Teodósio Mendes,4200000.0,73,-25.0,Pedro Filipe Teodósio Mendes
26,Rafael Pereira da Silva,9000000.0,78,111.04444444444445,Rafael Pereira da Silva
27,Rafael Pinheiro Andrade Bittencourt,1600000.0,75,111.04444444444445,Rafael Pinheiro Andrade Bittencourt
28,Rafael Cabral Barbosa,4700000.0,74,111.04444444444445,Rafael Cabral Barbosa
29,Ricardo D. Barbosa Pereira,17000000.0,80,147.56666666666666,Ricardo D. Barbosa Pereira
30,Rolando Jorge Pires da Fonseca,4500000.0,75,113.87333333333335,Rolando Jorge Pires da Fonseca
31,Marcos Paulo Mesquita Lopes,12500000.0,77,91.20000000000002,Marcos Paulo Mesquita Lopes
32,Ryan Isaac Mendes da Graça,3300000.0,72,46.6857142857143,Ryan Isaac Mendes da Graça
33,Sergi Darder Moll,14000000.0,78,40.97391304347826,Sergi Darder Moll
34,Calmon Wergiton do Rosário,4000000.0,73,85.36428571428571,Calmon Wergiton do Rosário
35,Sérgio Miguel Relvas de Oliveira,7500000.0,74,21.533333333333335,Sérgio Miguel Relvas de Oliveira
36,Thiago Emiliano da Silva,34000000.0,88,107.94814814814812,Thiago Emiliano da Silva
37,Miguel Ângelo da Silva Rocha,6000000.0,73,92.66153846153846,Miguel Ângelo da Silva Rocha
38,Éder Macedo Lopes,7500000.0,76,34.44516129032258,Éder Macedo Lopes
39,Éder Luiz Lima de Souza,1000000.0,69,34.44516129032258,Éder Luiz Lima de Souza
40,A. Leya Iseka,1500000.0,68,9.5,A. Leya Iseka
41,A. Diallo,1300000.0,68,104.87999999999997,A. Diallo
42,A. Bamba,1500000.0,70,74.1,A. Bamba
43,A. Keita,450000.0,62,82.33333333333333,A. Keita
44,A. Touré,725000.0,66,30.400000000000002,A. Touré
45,A. Waris,7000000.0,74,80.34285714285714,A. Waris
46,A. Ounas,5000000.0,72,85.35384615384615,A. Ounas
47,A. Diakhaby,5000000.0,72,58.52,A. Diakhaby
48,A. Soumaoro,6500000.0,74,58.266666666666666,A. Soumaoro
49,A. Traoré,2600000.0,72,101.83999999999999,A. Traoré
50,A. Traoré,3400000.0,71,101.83999999999999,A. Traoré
51,A. Hunou,1100000.0,67,57.0,A. Hunou
52,A. Rabiot,23500000.0,81,132.85925925925926,A. Rabiot
53,A. Thomasson,5000000.0,73,81.37241379310343,A. Thomasson
54,A. Yahia,725000.0,72,91.3225806451613,A. Yahia
55,A. Pléa,20500000.0,80,74.632,A. Pléa
56,A. Lafont,11500000.0,77,77.1611111111111,A. Lafont
57,A. Kalulu,1200000.0,67,21.17142857142857,A. Kalulu
58,A. Djiku,6500000.0,74,142.91304347826087,A. Djiku
59,A. Kačaniklić,4800000.0,73,32.858823529411765,A. Kačaniklić
60,A. Søderlund,3100000.0,72,7.376470588235292,A. Søderlund
61,A. Lacazette,48500000.0,85,119.57333333333334,A. Lacazette
62,A. Letellier,6500000.0,76,0.0,A. Letellier
63,A. Llovet,280000.0,58,28.5,A. Llovet
64,A. Mendy,3200000.0,71,6.5636363636363635,A. Mendy
65,A. Blin,4700000.0,72,92.07692307692308,A. Blin
66,A. Busin,675000.0,64,48.13333333333333,A. Busin
67,A. Wakaso,7500000.0,75,74.83076923076923,A. Wakaso
68,A. Saint-Maximin,11500000.0,76,83.04117647058824,A. Saint-Maximin
69,A. Touré,5000000.0,73,116.28,A. Touré
70,A. Areola,15000000.0,80,78.78666666666666,A. Areola
71,A. Bassi,270000.0,58,98.79999999999998,A. Bassi
72,A. Harit,4200000.0,71,107.28666666666666,A. Harit
73,A. Donis,4100000.0,71,42.644444444444446,A. Donis
74,A. Raggi,3100000.0,76,62.15714285714285,A. Raggi
75,A. Delort,10000000.0,76,48.13333333333333,A. Delort
76,A. Koura,3100000.0,71,21.279999999999998,A. Koura
77,A. Lopes,21500000.0,83,76.92432432432433,A. Lopes
78,A. Maisonnial,975000.0,66,152.0,A. Maisonnial
79,A. Walongwa,1200000.0,69,91.19999999999999,A. Walongwa
80,A. Robic,1600000.0,70,66.5,A. Robic
81,A. El Ghazi,7500000.0,74,29.766666666666666,A. El Ghazi
82,A. Lusamba,3100000.0,70,66.5,A. Lusamba
83,A. Nordin,1100000.0,66,65.36,A. Nordin
84,A. Souquet,8000000.0,76,133.5846153846154,A. Souquet
85,A. Bouka Moutou,1400000.0,70,129.96,A. Bouka Moutou
86,A. Mvuemba,3000000.0,73,83.8375,A. Mvuemba
87,A. Ngando,2500000.0,70,38.190000000000005,A. Ngando
88,B. Gomis,11500000.0,79,62.39354838709678,B. Gomis
89,B. Reynet,8500000.0,78,65.21621621621621,B. Reynet
90,B. Santamaria,7500000.0,75,131.66486486486485,B. Santamaria
91,B. Srarfi,2000000.0,68,28.119999999999997,B. Srarfi
92,B. André,9000000.0,77,146.19444444444446,B. André
93,B. Corgnet,2900000.0,72,33.440000000000005,B. Corgnet
94,B. Jeannot,4100000.0,72,-13.635294117647058,B. Jeannot
95,B. Lecomte,9500000.0,78,24.393548387096782,B. Lecomte
96,B. Leroy,1400000.0,70,190.0,B. Leroy
97,B. Mendy,13000000.0,78,139.384,B. Mendy
98,B. Moukandjo,0.0,77,95.912,B. Moukandjo
99,B. Assou-Ekotto,900000.0,71,107.24444444444444,B. Assou-Ekotto
100,B. Costil,15000000.0,82,68.7,B. Costil
101,B. Pedretti,425000.0,72,109.9076923076923,B. Pedretti
102,B. Ketkeophomphone,9000000.0,76,136.04,B. Ketkeophomphone
103,B. Matuidi,28500000.0,85,93.54705882352941,B. Matuidi
104,B. Sarr,1300000.0,69,47.646153846153844,B. Sarr
105,B. Dabo,7500000.0,74,28.771428571428572,B. Dabo
106,B. Passi,500000.0,62,57.0,B. Passi
107,C. Ninga,7500000.0,74,86.55555555555556,C. Ninga
108,C. Doukouré,4700000.0,73,124.08965517241379,C. Doukouré
109,C. M'Bengue,1900000.0,71,86.64000000000001,C. M'Bengue
110,C. N'Doye,6500000.0,76,60.22424242424242,C. N'Doye
111,C. Philipps,925000.0,67,87.74545454545454,C. Philipps
112,C. Jallet,3400000.0,77,139.72307692307692,C. Jallet
113,C. Kerbrat,4900000.0,75,109.76571428571428,C. Kerbrat
114,C. Mandanne,1900000.0,71,-21.09,C. Mandanne
115,C. Jullien,8500000.0,76,81.10285714285713,C. Jullien
116,C. Nkunku,3900000.0,71,31.825,C. Nkunku
117,C. Chantôme,3800000.0,73,74.37142857142858,C. Chantôme
118,C. Grenier,6500000.0,74,6.6499999999999995,C. Grenier
119,C. Lenglet,14500000.0,79,136.16666666666666,C. Lenglet
120,C. Michelin,4000000.0,71,123.975,C. Michelin
121,C. Jean,10000000.0,74,67.13333333333333,C. Jean
122,C. Tolisso,30500000.0,82,117.18709677419353,C. Tolisso
123,C. Carrasso,4200000.0,81,74.41666666666667,C. Carrasso
124,C. Varrault,240000.0,70,99.5125,C. Varrault
125,D. Da Silva,8000000.0,77,117.16666666666667,D. Da Silva
126,D. Congré,3200000.0,74,84.70833333333333,D. Congré
127,D. Subašić,22000000.0,85,145.03333333333333,D. Subašić
128,D. Petrić,1200000.0,70,-78.11111111111111,D. Petrić
129,D. Guidileye,1700000.0,70,86.76666666666667,D. Guidileye
130,D. Contento,2900000.0,72,149.87199999999999,D. Contento
131,D. Rolán,11500000.0,77,82.81379310344828,D. Rolán
132,D. Cavaré,2100000.0,70,133.0,D. Cavaré
133,D. Payet,24500000.0,83,137.30666666666667,D. Payet
134,D. Sidibé,13000000.0,79,137.06206896551723,D. Sidibé
135,D. Lukebakio,1400000.0,67,37.24,D. Lukebakio
136,D. Lévêque,2200000.0,71,237.5,D. Lévêque
137,D. Bahamboula,1200000.0,68,21.418181818181814,D. Bahamboula
138,D. Saint-Louis,1200000.0,68,262.2,D. Saint-Louis
139,E. Cavani,48500000.0,87,106.61111111111111,E. Cavani
140,E. Kawashima,1300000.0,72,79.8,E. Kawashima
141,E. Skhiri,6500000.0,74,136.18378378378378,E. Skhiri
142,E. Mammana,10000000.0,75,122.94117647058823,E. Mammana
143,E. Sala,12500000.0,78,54.65294117647059,E. Sala
144,E. Kwateng,1100000.0,67,135.71428571428572,E. Kwateng
145,E. Crivelli,8000000.0,74,58.10833333333334,E. Crivelli
146,E. Cabaco,1500000.0,69,92.72,E. Cabaco
147,E. Lenjani,1500000.0,70,13.299999999999999,E. Lenjani
148,E. Koffi,450000.0,63,135.53333333333333,E. Koffi
149,F. Lemoine,2900000.0,72,57.0,F. Lemoine
150,F. Maouassa,2500000.0,70,76.0,F. Maouassa
151,F. Diagne,1500000.0,70,53.83333333333332,F. Diagne
152,F. Diedhiou,5500000.0,73,37.63225806451613,F. Diedhiou
153,F. Boulaya,2400000.0,70,17.1,F. Boulaya
154,F. Bahlouli,2500000.0,70,7.600000000000001,F. Bahlouli
155,F. Pardo,7000000.0,75,40.92307692307692,F. Pardo
156,F. Tait,1400000.0,69,107.43636363636364,F. Tait
157,F. Balmont,750000.0,71,88.88695652173912,F. Balmont
158,F. Mollet,900000.0,67,45.751999999999995,F. Mollet
159,F. Pogba,9000000.0,77,145.0705882352941,F. Pogba
160,F. Thauvin,28000000.0,82,139.3,F. Thauvin
161,F. Chafik,2200000.0,72,185.49629629629632,F. Chafik
162,F. Bellugou,1800000.0,71,45.30769230769231,F. Bellugou
163,F. Kamano,10500000.0,76,58.9,F. Kamano
164,F. Moubandje,5000000.0,74,105.84117647058822,F. Moubandje
165,F. Sammaritano,3500000.0,73,103.9483870967742,F. Sammaritano
166,F. Doré,550000.0,65,10.555555555555555,F. Doré
167,Gabriel Boschilia,6500000.0,73,130.92727272727276,Gabriel Boschilia
168,G. Hein,975000.0,65,57.87692307692308,G. Hein
169,G. Danic,450000.0,69,90.80689655172415,G. Danic
170,G. Laborde,5500000.0,73,45.07222222222222,G. Laborde
171,G. Jourdren,3400000.0,74,-50.56923076923077,G. Jourdren
172,G. Mandjeck,1400000.0,70,114.13103448275861,G. Mandjeck
173,G. Sunu,2800000.0,71,37.6695652173913,G. Sunu
174,G. Lo Celso,10000000.0,74,-0.9500000000000008,G. Lo Celso
175,G. Sio,7000000.0,75,17.32352941176471,G. Sio
176,G. Krychowiak,17500000.0,81,79.80000000000001,G. Krychowiak
177,G. Bourillon,300000.0,67,77.52,G. Bourillon
178,G. Sertic,5500000.0,75,83.6,G. Sertic
179,G. Carrillo,6500000.0,74,46.2,G. Carrillo
180,H. Diallo,1100000.0,67,12.2,H. Diallo
181,H. Maïga,1200000.0,67,44.080000000000005,H. Maïga
182,H. Mendyl,550000.0,63,45.6,H. Mendyl
183,H. Ben Arfa,17000000.0,81,17.843478260869567,H. Ben Arfa
184,H. Bedimo,1200000.0,72,78.85000000000001,H. Bedimo
185,H. Saivet,11000000.0,77,65.86666666666666,H. Saivet
186,H. Bazile,3300000.0,72,74.8,H. Bazile
187,H. Mahou,900000.0,64,0.0,H. Mahou
188,H. Sakai,7000000.0,76,128.11428571428573,H. Sakai
189,H. Aouar,2300000.0,69,36.733333333333334,H. Aouar
190,I. Amadou,8000000.0,75,101.62285714285713,I. Amadou
191,I. Sangaré,2700000.0,70,160.35999999999999,I. Sangaré
192,I. Sangaré,180000.0,58,160.35999999999999,I. Sangaré
193,I. Lewczuk,2300000.0,73,72.2,I. Lewczuk
194,I. Kiese Thelin,3000000.0,71,11.942857142857145,I. Kiese Thelin
195,I. Mbenza,2600000.0,70,52.487500000000004,I. Mbenza
196,I. Diomandé,4500000.0,73,95.94999999999999,I. Diomandé
197,I. Traoré,5500000.0,76,83.00625000000001,I. Traoré
198,I. Cissokho,1300000.0,71,115.16923076923078,I. Cissokho
199,I. Diop,12000000.0,76,95.63333333333334,I. Diop
200,I. Sylla,3100000.0,71,93.5925925925926,I. Sylla
201,I. Dia,1700000.0,70,73.79354838709678,I. Dia
202,Ivan Cavaleiro,5500000.0,73,17.099999999999998,Ivan Cavaleiro
203,I. Santini,7000000.0,75,59.45882352941177,I. Santini
204,J. Lea Siliki,500000.0,62,72.2,J. Lea Siliki
205,J. Plašil,1700000.0,73,105.68108108108109,J. Plašil
206,J. Pastore,25500000.0,83,64.6,J. Pastore
207,J. Augustin,4700000.0,72,17.479999999999997,J. Augustin
208,J. Leca,5500000.0,77,46.49411764705882,J. Leca
209,J. Mateta,675000.0,62,-28.5,J. Mateta
210,J. Makengo,1100000.0,65,48.95294117647058,J. Makengo
211,J. Louis,2400000.0,70,41.8,J. Louis
212,J. Moulin,550000.0,68,180.5,J. Moulin
213,J. Pi,1200000.0,69,33.946666666666665,J. Pi
214,J. Cabot,5500000.0,73,126.16,J. Cabot
215,J. Durmaz,6500000.0,75,61.22222222222222,J. Durmaz
216,J. Cuffaut,1800000.0,71,130.71999999999997,J. Cuffaut
217,J. Gastien,850000.0,68,54.973333333333336,J. Gastien
218,J. Bamba,4100000.0,71,85.02499999999999,J. Bamba
219,J. Delaplace,3400000.0,73,112.04242424242425,J. Delaplace
220,J. Martins Pereira,1600000.0,71,97.63076923076923,J. Martins Pereira
221,J. Rivierez,1400000.0,70,118.98749999999998,J. Rivierez
